,SID,PID,LotFrontage,LotArea,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,Exterior1,BsmtFinSF1,BsmtFinSF2,CentralAir,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleCondition,SalePrice,TotalSqftCalc,TotalBathCalc,CornerLotInd,FireplaceInd1,FireplaceInd2,FireplaceAdder1,FireplaceAdder2,CentralAirInd,BrickInd,VinylSidingInd,PoolInd,WoodDeckInd,PorchInd,QualityIndex,I2006,I2007,I2008,I2009,I2010,u,train
197,444,528142090,107,11362,Inside,NridgHt,1Story,8,5,2004,2005,MetalSd,1039,0,Y,1836,1,0,2,0,3,7,1,3,862,125,185,0,0,0,0,3,2009,Normal,280000,2875,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.35414816113188863,1.0
198,445,528142130,85,10655,Inside,NridgHt,1Story,8,5,2003,2004,VinylSd,1124,479,Y,1629,1,0,2,0,3,7,1,3,880,0,0,0,0,0,0,10,2009,Normal,284000,3232,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.9843637552112341,0.0
199,446,528142150,90,12878,Corner,NridgHt,1Story,7,5,2003,2004,VinylSd,1262,0,Y,1760,1,0,2,0,3,8,1,2,583,165,190,0,0,0,0,6,2009,Normal,269500,3022,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.6936212556902319,1.0
200,448,528166060,103,13472,Inside,NridgHt,1Story,10,5,2003,2003,VinylSd,56,0,Y,2392,0,0,2,0,3,8,1,3,968,248,105,0,0,0,0,6,2009,Normal,386250,2448,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,50,0.0,0.0,0.0,1.0,0.0,0.3505652900785208,1.0
201,449,528166090,110,15274,Corner,NridgHt,1Story,9,5,2003,2003,VinylSd,1972,0,Y,2452,2,0,2,0,3,10,1,3,886,0,116,0,0,0,0,7,2009,Normal,445000,4424,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,45,0.0,0.0,0.0,1.0,0.0,0.3347748664673418,1.0
202,450,528168030,96,13262,Inside,NridgHt,2Story,8,5,2003,2004,VinylSd,0,0,Y,2400,0,0,3,1,4,10,1,3,730,114,40,0,0,0,0,6,2009,Normal,290000,2400,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.9888769881799817,0.0
203,451,528172060,70,9658,Inside,NridgHt,1Story,8,5,2006,2006,VinylSd,0,0,Y,1606,0,0,2,0,3,6,1,3,871,230,60,0,0,0,0,7,2009,Normal,255900,1606,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.6806368189863861,1.0
204,458,528178010,117,15262,Corner,NridgHt,1Story,8,5,2003,2004,VinylSd,1557,0,Y,2200,1,0,2,1,3,8,1,3,685,208,55,0,0,0,0,7,2009,Normal,382500,3757,3.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.7777559419628233,0.0
205,461,528186010,129,16770,Corner,NridgHt,1Story,8,5,2002,2003,VinylSd,1196,0,Y,1712,1,0,2,0,3,8,1,3,701,218,183,0,0,0,0,9,2009,Normal,286500,2908,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.9543048178311437,0.0
206,465,528218090,63,10928,Inside,Gilbert,2Story,7,5,2005,2005,VinylSd,0,0,Y,1456,0,0,2,1,3,8,1,2,390,100,0,0,0,0,0,6,2009,Normal,184000,1456,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.9189437942113727,0.0
207,466,528220040,57,8918,Inside,Gilbert,2Story,6,5,2005,2006,VinylSd,0,0,Y,1490,0,0,2,1,3,7,1,2,392,36,20,0,0,0,0,7,2009,Normal,167800,1490,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.9975299027282745,0.0
208,467,528221060,149,12589,Inside,Gilbert,2Story,6,5,2005,2005,VinylSd,0,0,Y,1484,0,0,2,1,3,8,1,2,390,36,24,0,0,0,0,6,2009,Normal,174000,1484,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.759853582829237,0.0
209,468,528221070,122,11911,Inside,Gilbert,2Story,6,5,2005,2005,VinylSd,0,0,Y,1560,0,0,2,1,3,6,1,2,400,100,38,0,0,0,0,3,2009,Normal,174000,1560,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.9250649902969599,0.0
210,475,528235010,71,7795,Inside,Gilbert,2Story,7,5,2004,2005,VinylSd,425,0,Y,1432,1,0,2,1,3,6,1,2,432,100,51,0,0,0,0,7,2009,Normal,188500,1857,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.5797861921600997,1.0
211,477,528235200,59,9434,Inside,Gilbert,SLvl,7,5,2004,2005,WdShing,0,0,Y,1374,0,0,2,1,3,6,1,2,400,100,0,0,0,0,0,8,2009,Normal,170000,1374,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.28304984443821013,1.0
212,478,528240030,62,7984,Inside,Gilbert,2Story,7,5,2004,2005,VinylSd,0,0,Y,1630,0,0,2,1,3,7,1,2,436,120,48,0,0,0,0,9,2009,Normal,189500,1630,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.9731520372442901,0.0
213,480,528240150,61,10125,Inside,Gilbert,2Story,7,5,2004,2004,VinylSd,0,0,Y,1594,0,0,2,1,3,7,1,2,434,300,48,0,0,0,0,7,2009,Normal,195500,1594,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.3536203366238624,1.0
214,487,528290030,61,9734,Inside,Gilbert,SLvl,7,5,2004,2004,VinylSd,241,113,Y,1374,0,0,2,1,3,7,0,2,400,0,0,0,0,0,0,5,2009,Normal,167000,1728,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.09178764349780977,1.0
215,488,528290120,60,8123,Inside,Gilbert,2Story,6,5,2000,2000,VinylSd,0,0,Y,1800,0,0,2,1,3,7,1,2,463,100,63,0,0,0,0,6,2009,Normal,179000,1800,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.2117118537425995,1.0
216,489,528290180,42,8433,Inside,Gilbert,2Story,6,5,2000,2000,VinylSd,683,0,Y,1514,1,0,2,1,3,7,1,2,394,0,72,0,0,0,0,6,2009,Normal,190000,2197,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.8676728804130107,0.0
217,490,528290190,62,7750,Inside,Gilbert,SLvl,7,5,1999,2000,VinylSd,0,0,Y,1430,0,0,2,1,3,7,1,2,400,0,0,0,0,0,0,3,2009,Normal,156000,1430,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.4070756323635578,1.0
218,494,528294050,64,7848,Inside,Gilbert,SLvl,7,6,1999,1999,VinylSd,0,0,Y,1430,0,0,2,1,3,7,1,2,410,0,0,0,0,0,0,6,2009,Normal,168000,1430,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,42,0.0,0.0,0.0,1.0,0.0,0.6115414805244654,1.0
219,495,528315090,82,9430,Inside,NoRidge,2Story,8,5,1999,1999,VinylSd,1163,0,Y,2365,1,0,2,1,3,8,1,3,856,0,128,0,0,180,0,7,2009,Normal,337000,3528,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.5154311193618923,1.0
220,496,528321010,174,15138,Inside,NoRidge,2Story,8,5,1995,1996,VinylSd,689,0,Y,2794,1,0,2,1,4,9,1,3,810,0,146,202,0,0,0,7,2009,Normal,403000,3483,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.596306350082159,1.0
221,497,528327070,106,12720,Inside,NoRidge,2Story,8,5,2000,2000,VinylSd,1173,0,Y,2687,1,0,2,1,4,10,2,3,810,252,30,0,0,0,0,9,2009,Normal,327000,3860,3.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.4118194777984172,1.0
222,499,528344100,98,12203,Corner,NoRidge,2Story,8,5,1998,1999,VinylSd,854,0,Y,2612,1,0,2,1,4,8,1,3,676,250,0,0,0,0,0,7,2009,Normal,336000,3466,3.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.2600179382134229,1.0
223,500,528354050,79,10208,Inside,NoRidge,2Story,7,5,1996,1997,VinylSd,0,0,Y,2344,0,0,2,1,3,7,1,3,889,220,0,0,0,0,0,7,2009,Normal,265000,2344,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.345899666659534,1.0
224,502,528365070,90,9900,Inside,NoRidge,2Story,7,5,1993,1993,HdBoard,987,0,Y,2646,1,0,2,1,4,9,1,3,656,340,60,144,0,0,0,4,2009,Normal,260000,3633,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.28221919015049934,1.0
225,503,528385050,79,9085,Inside,NoRidge,2Story,7,5,1995,1996,VinylSd,816,0,Y,2061,1,0,2,1,3,7,1,2,647,296,102,209,0,0,0,11,2009,Normal,260000,2877,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.9762178850360215,0.0
226,505,528390100,52,46589,CulDSac,NoRidge,2Story,8,7,1994,2005,VinylSd,1361,180,Y,2448,1,0,2,1,4,8,1,3,711,517,76,0,0,0,0,7,2009,Normal,402000,3989,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,56,0.0,0.0,0.0,1.0,0.0,0.632905543083325,1.0
227,508,528431020,86,11194,Inside,Somerst,1Story,8,5,2008,2008,VinylSd,0,0,Y,1696,0,0,2,0,3,7,0,3,972,120,56,0,0,0,0,9,2009,Normal,275000,1696,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.24505112459883094,1.0
228,509,528431070,78,10206,Inside,Somerst,1Story,8,5,2008,2008,VinylSd,0,0,Y,1658,0,0,2,1,3,7,1,3,726,144,44,0,0,0,0,9,2009,Normal,257500,1658,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.6991730865556747,1.0
229,511,528435050,85,10130,Inside,Somerst,1Story,8,5,2007,2007,VinylSd,1294,0,Y,1702,1,0,2,0,3,7,1,3,844,0,69,0,0,0,0,3,2009,Normal,275500,2996,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.884776042541489,0.0
230,512,528439060,76,9139,Inside,Somerst,1Story,8,5,2006,2006,VinylSd,379,0,Y,1432,0,0,2,0,3,7,1,2,492,297,50,0,0,0,0,9,2009,Normal,245000,1811,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.6290154047310352,1.0
231,513,528441020,75,9675,Inside,Somerst,2Story,7,5,2005,2005,VinylSd,341,0,Y,1971,0,0,2,1,3,8,1,2,689,0,48,0,0,0,0,2,2009,Normal,253000,2312,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.41944578429684043,1.0
232,514,528441090,85,11128,Corner,Somerst,1Story,9,5,2005,2006,VinylSd,2158,0,Y,2490,1,0,2,0,2,9,2,3,795,70,226,0,0,0,0,10,2009,Normal,468000,4648,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,45,0.0,0.0,0.0,1.0,0.0,0.373191203456372,1.0
233,516,528456220,75,9000,Inside,Somerst,2Story,8,5,2008,2008,VinylSd,0,0,Y,1590,0,0,2,1,3,6,0,2,676,0,30,0,0,0,0,6,2009,Normal,210000,1590,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.040949633810669184,1.0
234,520,528458060,72,8640,Inside,Somerst,1Story,7,5,2008,2008,VinylSd,0,0,Y,1402,0,0,2,0,3,7,0,2,625,205,126,0,0,0,0,5,2009,Normal,229800,1402,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.4789773793891072,1.0
235,521,528458140,112,12606,Inside,Somerst,1Story,9,5,2007,2008,VinylSd,0,0,Y,1530,0,0,2,0,3,7,1,3,984,212,136,0,0,0,0,5,2009,Normal,250000,1530,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,45,0.0,0.0,0.0,1.0,0.0,0.622673582052812,1.0
236,523,528458180,75,7500,Inside,Somerst,1Story,8,5,2006,2007,VinylSd,24,0,Y,1448,0,0,2,0,2,6,1,2,692,0,140,0,0,0,0,6,2009,Normal,238500,1472,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.8576697562821209,0.0
237,524,528477050,85,11003,Inside,Somerst,2Story,10,5,2008,2008,VinylSd,765,0,Y,2007,1,0,2,1,3,10,1,3,812,168,52,0,0,0,0,4,2009,Normal,310000,2772,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,50,0.0,0.0,0.0,1.0,0.0,0.5829472879413515,1.0
238,525,528477070,84,10603,Inside,Somerst,2Story,8,5,2006,2006,VinylSd,682,0,Y,1795,1,0,2,1,3,8,1,3,782,168,45,0,0,0,0,7,2009,Normal,270000,2477,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.7940841321833432,0.0
239,526,528480040,85,10574,Inside,Somerst,2Story,8,5,2005,2006,VinylSd,0,0,Y,1953,0,0,2,1,3,9,1,3,1043,160,50,0,0,0,0,5,2009,Normal,252000,1953,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.40611455542966723,1.0
240,527,528480130,65,8125,Inside,Somerst,2Story,7,5,2006,2007,CemntBd,812,0,Y,1550,1,0,2,0,2,7,0,2,438,0,168,0,0,0,0,10,2009,Normal,241000,2362,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.4071351080201566,1.0
241,529,528482040,85,10625,Inside,Somerst,1Story,7,5,2006,2007,VinylSd,1430,0,Y,1662,1,0,2,0,3,8,1,3,711,168,120,0,0,0,0,3,2009,Normal,291000,3092,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.03858572035096586,1.0
242,530,528482130,75,9375,Inside,Somerst,2Story,7,5,2003,2004,VinylSd,0,0,Y,2094,0,0,2,1,4,8,1,2,615,182,182,0,0,0,0,11,2009,Normal,263000,2094,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.4385944704990834,1.0
243,531,528488100,62,7500,Inside,Somerst,1Story,7,5,2004,2005,VinylSd,410,0,Y,1221,1,0,2,0,2,6,0,2,400,0,113,0,0,0,0,10,2009,Normal,185000,1631,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.11743064946494997,1.0
244,532,528490040,68,8736,Inside,Somerst,1Story,7,5,2003,2004,VinylSd,771,360,Y,1553,1,0,2,0,3,6,0,2,588,192,88,0,0,0,0,8,2009,Normal,234500,2684,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.4556482604239136,1.0
245,533,528490070,65,8127,Inside,Somerst,2Story,7,5,2003,2003,VinylSd,410,0,Y,1653,1,0,2,1,3,6,0,2,628,0,45,0,0,0,0,3,2009,Normal,209000,2063,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.6405972798820585,1.0
246,534,531363010,80,9605,Corner,SawyerW,1Story,7,6,2007,2007,VinylSd,0,0,Y,1218,0,0,1,1,3,6,0,2,576,0,178,0,0,0,0,4,2009,Normal,159000,1218,1.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,42,0.0,0.0,0.0,1.0,0.0,0.6847770262975246,1.0
247,535,531363030,63,7500,Inside,SawyerW,1Story,7,5,2006,2006,VinylSd,54,0,Y,1141,1,0,1,1,3,6,0,2,484,182,0,0,0,0,0,6,2009,Normal,152000,1195,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.83131705946289,0.0
248,536,531363050,63,7500,Inside,SawyerW,1Story,6,5,2004,2004,VinylSd,0,0,Y,1158,0,0,1,1,3,5,0,0,0,0,50,0,0,0,0,8,2009,Normal,143500,1158,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.13861637632362545,1.0
249,537,531369010,96,10628,Corner,SawyerW,2Story,7,5,2004,2004,VinylSd,0,0,Y,1812,0,0,2,1,3,8,0,2,478,146,91,0,0,0,0,1,2009,Normal,193000,1812,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.6439913290087134,1.0
250,538,531369020,76,10141,Inside,SawyerW,1Story,8,5,2004,2004,VinylSd,516,774,Y,1512,0,0,2,0,3,6,0,3,845,210,36,0,0,0,0,1,2009,Normal,203000,2802,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,1.0,0.0,0.09415203495882452,1.0
251,539,531371050,67,10083,Inside,SawyerW,1Story,7,5,2003,2003,VinylSd,833,0,Y,1200,1,0,2,0,2,5,0,2,555,0,41,0,0,0,0,8,2009,Normal,184900,2033,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.24716078606434166,1.0
252,540,531375040,63,13072,Inside,SawyerW,1Story,7,5,2004,2005,VinylSd,0,0,Y,1114,0,0,1,1,3,6,0,2,576,248,102,0,0,0,0,5,2009,Normal,159000,1114,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.09872548095881939,1.0
253,541,531375090,63,13072,Inside,SawyerW,1Story,5,5,2004,2004,VinylSd,0,0,Y,1114,0,0,1,1,3,6,0,0,0,0,39,0,0,0,0,8,2009,Normal,142000,1114,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,25,0.0,0.0,0.0,1.0,0.0,0.1662910778541118,1.0
254,542,531375130,60,12450,Inside,SawyerW,1Story,5,5,2003,2004,VinylSd,836,0,Y,1114,1,0,2,0,3,6,0,2,576,0,42,0,0,0,0,6,2009,Normal,153000,1950,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,25,0.0,0.0,0.0,1.0,0.0,0.41230453411117196,1.0
255,544,531379050,43,11492,CulDSac,SawyerW,2Story,7,5,1996,1997,VinylSd,637,0,Y,2122,1,0,2,1,4,8,1,2,559,0,74,0,0,0,0,4,2009,Normal,220000,2759,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.4459611752536148,1.0
256,546,531385020,65,8529,Inside,SawyerW,1Story,7,5,2001,2001,VinylSd,20,0,Y,1434,0,0,2,0,3,6,1,2,527,290,39,0,0,0,0,4,2009,Normal,189000,1454,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.7759351194836199,0.0
257,547,531450120,70,7703,Inside,SawyerW,2Story,6,6,1992,1992,HdBoard,52,364,Y,1730,0,0,2,1,3,6,0,2,528,0,91,0,0,168,0,11,2009,Normal,171500,2146,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,1.0,0.0,0.9088897670153528,0.0
258,550,531452260,70,9109,Inside,SawyerW,2Story,7,5,1994,1994,VinylSd,36,596,Y,1540,1,0,2,1,3,6,0,2,495,140,32,0,0,0,0,10,2009,Normal,184000,2172,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.14410645910538733,1.0
259,553,531477020,60,8400,Inside,SawyerW,1Story,4,4,1950,1950,Wd Sdng,0,0,Y,841,0,0,1,0,2,4,0,1,294,250,0,24,0,0,0,9,2009,Normal,82000,841,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,16,0.0,0.0,0.0,1.0,0.0,0.43047315045259893,1.0
260,555,532353020,63,9750,Inside,Sawyer,1Story,5,5,1962,1962,HdBoard,68,884,Y,980,1,0,1,0,3,5,0,2,400,0,28,0,0,0,0,11,2009,Normal,110000,1932,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,1.0,0.0,0.9922598637640476,0.0
261,556,532353130,71,7064,Inside,Sawyer,1Story,5,6,1977,1977,Plywood,560,0,Y,980,0,0,1,0,3,6,0,2,484,192,0,0,0,0,0,7,2009,Normal,135000,1540,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.48960539139807224,1.0
262,561,532377130,80,10000,Corner,Sawyer,1Story,5,6,1961,1983,HdBoard,594,0,Y,1144,1,0,1,0,3,6,1,1,264,165,0,0,0,0,0,3,2009,Normal,131400,1738,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.5806030724197626,1.0
263,562,532378120,60,8281,Inside,Sawyer,1Story,5,5,1965,1965,MetalSd,553,311,Y,864,0,0,1,0,3,5,1,1,360,0,0,236,0,0,0,12,2009,Normal,62383,1728,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,1.0,0.0,0.289026309736073,1.0
264,563,532378180,65,7150,Inside,Sawyer,1Story,5,6,1962,1962,VinylSd,140,590,Y,912,0,1,1,0,3,6,0,1,252,0,0,0,0,0,0,10,2009,Normal,123000,1642,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.8281147188972682,0.0
265,577,533254050,110,15417,Inside,Veenker,1Story,7,5,1981,1981,BrkFace,121,0,Y,1740,0,0,1,1,2,7,0,2,540,228,20,218,0,0,0,6,2009,Normal,241600,1861,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.8340939248446375,0.0
266,580,534125080,78,11700,Inside,NWAmes,2Story,6,6,1968,1968,MetalSd,298,0,Y,1556,0,0,1,1,4,8,0,2,441,0,0,0,0,0,0,5,2009,Normal,154000,1854,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,1.0,0.0,0.02002675854600966,1.0
267,586,534128190,80,10400,Inside,NWAmes,2Story,6,7,1967,1997,MetalSd,0,0,Y,2640,0,0,2,1,5,8,1,2,515,0,120,0,0,168,0,5,2009,Normal,256900,2640,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,42,0.0,0.0,0.0,1.0,0.0,0.9885157947428524,0.0
268,588,534129370,80,9600,Inside,NWAmes,1Story,5,5,1969,1969,HdBoard,553,147,Y,1336,0,1,2,0,3,6,1,2,502,312,11,0,0,0,0,8,2009,Normal,163000,2036,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,25,0.0,0.0,0.0,1.0,0.0,0.3928196346387267,1.0
269,591,534152120,80,9650,Inside,NWAmes,1Story,6,5,1977,1977,Plywood,686,0,Y,1334,0,1,2,0,2,6,1,2,630,0,16,0,0,0,0,4,2009,Normal,167900,2020,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,1.0,0.0,0.7121681722346693,0.0
270,592,534175080,78,10140,Inside,NWAmes,1Story,7,5,1998,1999,VinylSd,144,1127,Y,1680,1,0,2,0,3,7,1,2,583,78,73,0,0,0,0,6,2009,Normal,213250,2951,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,1.0,0.0,0.19057111907750368,1.0
271,593,534177230,70,8400,Inside,NWAmes,2Story,8,6,2001,2001,VinylSd,643,0,Y,1665,1,0,2,1,3,6,0,2,528,0,45,0,0,0,0,11,2009,Normal,227000,2308,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,48,0.0,0.0,0.0,1.0,0.0,0.035372749669477344,1.0
